iso3,country,continent,min_senti_bert,drop_senti_bert,averageN,Quality,HalfLife,mType,model,r-squared,sd_position_half,sd_position_525,sd_position_final,sse,u,v,gama,a,b
MAR,Morocco,Africa,3/15/2020,3/9/2020,1393.980263,1,8.437719519,1,normal,0.802815603,-1.12689907,0.792385855,0.803957575,6.854402249,0.586205932,-2.840086063,0.081792972,,
MEX,Mexico,North America,3/17/2020,3/10/2020,79606.00658,1,18.11468511,1,normal,1.038200172,-2.990467615,-0.013314787,0.67779895,5.305194977,1.319552143,-4.592645263,0.032802589,,
MKD,Macedonia,Europe,3/12/2020,3/8/2020,556.1578947,0,14.6245414,1,normal,0.496161118,-2.0230947,-0.285990602,-0.156919455,10.71780297,0.257024342,-1.511422188,0.044989674,,
MLI,Mali,Africa,3/21/2020,3/13/2020,348.2828947,0,32.5,3,normal,0.485774109,-0.072275843,1.065811203,,7.828162478,,,,0.018773234,-0.593754622
MMR,Myanmar,Asia,3/15/2020,3/11/2020,577.8355263,0,35.5,3,normal,0.913595933,-0.804396097,1.658965482,,14.1768075,,,,0.035806509,-1.558830562
MNE,Montenegro,Europe,3/8/2020,2/23/2020,801.2828947,0,39,3,normal,0.707535634,0.192301685,1.204898578,,5.209715904,,,,0.020885823,-0.813937895
MNG,Mongolia,Asia,1/29/2020,1/21/2020,1893.401316,1,5.158597885,1,normal,0.673111536,-3.359999559,0.26249886,0.262499938,19.05788315,0.377950627,-3.534466722,0.134367331,,
MOZ,Mozambique,Africa,3/13/2020,3/9/2020,1042.388158,0,20.74142107,1,normal,0.766557518,0.017773291,1.974744668,2.59621156,5.971443565,1.191883696,-2.339848818,0.027227234,,
MTQ,Martinique,North America,3/13/2020,3/11/2020,578.2828947,0,2.917116604,1,normal,0.149112254,-0.340988642,1.070567844,1.070567927,24.02397281,0.30549225,-1.353090182,0.237613797,,
MUS,Mauritius,Africa,3/16/2020,3/14/2020,348.4671053,0,8.127602664,1,normal,0.45788168,-0.262215059,0.988095444,0.99464611,13.0564123,0.55146324,-1.75078682,0.084962054,,
MWI,Malawi,Africa,3/14/2020,3/11/2020,1504.776316,0,20.80636383,1,normal,0.872093807,0.811294498,3.367212247,4.235876066,6.059723489,1.611729325,-2.889173103,0.026795877,,
MYS,Malaysia,Asia,3/18/2020,3/11/2020,59793.21053,1,10.71557887,1,normal,0.814912451,-1.427484781,2.674990955,2.786224616,30.1269676,1.220022226,-4.235802744,0.063445969,,
NAM,Namibia,Africa,3/15/2020,3/9/2020,2755.013158,1,20.7631034,1,normal,1.039290512,-1.052695703,2.979550509,4.417346092,14.1557734,2.303101336,-5.025730859,0.026597486,,
NGA,Nigeria,Africa,3/22/2020,3/15/2020,75325.13816,0,30.4561224,1,normal,0.989515059,-0.01826852,4.969153468,51.74925154,13.2608874,29.11688088,-31.87915061,0.003020076,,
NIC,Nicaragua,North America,3/21/2020,3/9/2020,2276.697368,1,2.605697401,1,normal,0.164880122,-2.512522104,-1.739746517,-1.739746469,6.177411699,-0.324571041,-0.768199741,0.266012143,,
NLD,Netherlands,Europe,3/13/2020,3/7/2020,20414.46053,1,3.597320584,1,normal,0.644194055,-3.011588578,-0.437623248,-0.43761924,10.16929442,0.139873089,-3.450879643,0.192684079,,
NOR,Norway,Europe,3/13/2020,3/8/2020,2247.5,1,6.790811492,1,normal,0.827889144,-2.296133323,1.25083053,1.254978637,9.617289687,0.626517809,-3.575481831,0.101985301,,
NPL,Nepal,Asia,3/22/2020,3/9/2020,2956.355263,1,3.261914407,1,normal,0.232787356,-3.380078512,-1.554684814,-1.554680284,24.67900755,-0.193750786,-1.854289484,0.212496667,,
NZL,New Zealand,Oceania,3/16/2020,3/11/2020,2961.967105,1,9.847015551,1,normal,0.797794641,-4.019345981,-1.21796148,-1.174778501,6.112214289,0.116945993,-2.886020289,0.069617824,,
